Production_Budget,Domestic_Gross
110000.00,10000000.00
200000.00,8000000.00
100000.00,3000000.00
245000.00,11000000.00
3900000.00,9000000.00
379000.00,2800000.00
558000.00,900000.00
672000.00,10000000.00
200000.00,2000000.00
439000.00,1438000.00
325000.00,2500000.00
609000.00,1782000.00
1500000.00,163245.00
1300000.00,2868000.00
1488000.00,184925485.00
2000000.00,4000000.00
1644000.00,4000000.00
1500000.00,9000000.00
2777000.00,33711566.00
3900000.00,198680470.00
2000000.00,9172000.00
1288000.00,6000000.00
2280000.00,83320000.00
858000.00,102797000.00
134000.00,4000000.00
1039000.00,10462500.00
2627000.00,5363000.00
2361000.00,3500000.00
5200000.00,2000000.00
2160000.00,9132000.00
1250000.00,11000000.00
1500000.00,7000000.00
3180000.00,6600000.00
2000000.00,24464742.00
2100000.00,23600000.00
6000000.00,20400000.00
2000000.00,7800000.00
3700000.00,2956000.00
3000000.00,9012000.00
1600000.00,5400000.00
1000000.00,7800000.00
2900000.00,85000000.00
3768785.00,8000000.00
8250000.00,30000000.00
1200000.00,7000000.00
1800000.00,8000000.00
2300000.00,11000000.00
730000.00,8000000.00
4000000.00,36000000.00
2540000.00,7200000.00
1250000.00,2500000.00
4000000.00,87400000.00
1650000.00,30500000.00
210000.00,5000000.00
5000000.00,36000000.00
658000.00,23800000.00
5000000.00,15000000.00
910000.00,9600000.00
5000000.00,28200000.00
1200000.00,7000000.00
6000000.00,12500000.00
4500000.00,10400000.00
4000000.00,14400000.00
1000000.00,9000000.00
13500000.00,80000000.00
6000000.00,42000000.00
500000.00,271736.00
1200000.00,2000000.00
5000000.00,11000000.00
3000000.00,33300000.00
3000000.00,17570324.00
5000000.00,11000000.00
3500000.00,12800000.00
2883848.00,25000000.00
15000000.00,73000000.00
4000000.00,21750000.00
3000000.00,18600000.00
3000000.00,10400000.00
12000000.00,30000000.00
12000000.00,7900000.00
4000000.00,8200000.00
3000000.00,10000000.00
2900000.00,5000000.00
2000000.00,7600000.00
6000000.00,43700000.00
3200000.00,8000000.00
2000000.00,9250000.00
10000000.00,39100000.00
19000000.00,13680000.00
4500000.00,3500000.00
15000000.00,37495385.00
2000000.00,13129846.00
17000000.00,10000000.00
2686000.00,6600000.00
2500000.00,10000000.00
1000000.00,37600000.00
9400000.00,46300000.00
1000000.00,16067035.00
4000000.00,11744471.00
42000000.00,57000000.00
19000000.00,4750000.00
1800000.00,9164370.00
2000000.00,24800000.00
6000000.00,102300000.00
17000000.00,72000000.00
560000.00,1537860.00
3000000.00,51100000.00
8200000.00,163214286.00
20000000.00,15473333.00
5800000.00,6800000.00
3800000.00,14873.00
11000000.00,111721000.00
9000000.00,63600000.00
3500000.00,12000000.00
3000000.00,13000000.00
15000000.00,34562222.00
3900000.00,28350000.00
3500000.00,13000000.00
200000.00,3500000.00
2000000.00,24379978.00
12000000.00,22744718.00
9500000.00,43100000.00
600000.00,4300000.00
1200000.00,6100000.00
1455000.00,2620000.00
114000.00,12000000.00
10500000.00,56700000.00
1800000.00,6800000.00
747000.00,44566.00
5800000.00,33395426.00
10000000.00,37402877.00
3200000.00,33395426.00
20000000.00,8000000.00
3600000.00,44785053.00
5000000.00,5321508.00
6000000.00,509424.00
200000.00,13500000.00
20000000.00,31678778.00
6000000.00,102308900.00
24000000.00,33208099.00
8000000.00,22800000.00
4000000.00,6000000.00
22000000.00,5000000.00
12000000.00,62500000.00
11000000.00,2200000.00
3500000.00,81600000.00
1000000.00,9000000.00
600000.00,34505110.00
3716946.00,3500000.00
3000000.00,17489009.00
18000000.00,24911670.00
25000000.00,29548291.00
